Sps,lon,lat,Source,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_ANGLE,RASTERVALU
Aatl,-58.958,49.5015,OBIS, , ,1255256,4467.3950632,-58.9583333333,49.5416666667,-0.309412564766,2
Aatl,-60.8,62.916668,OBIS, , ,963035,4663.28626519,-60.7916666667,62.9583333333,5.20283320177,2
Aatl,-51.58,45.31,OBIS, , ,1353046,3631.9649504,-51.5416666667,45.2916666667,124.111192436,2
Aatl,-62.618,59.328,OBIS, , ,1031466,4067.14074524,-62.625,59.2916666667,-174.37117961,2
Aatl,-60.042,49.681,OBIS, , ,1251455,3040.195214,-60.0416666667,49.7083333333,0.453118423079,2
Aatl,-63.53,50.1,OBIS, , ,1241875,2903.29587319,-63.5416666667,50.125,-16.6997348081,2
Aatl,-68.66,48.83,OBIS, , ,1272046,4978.03122494,-68.625,48.7916666667,148.895186418,2
Aatl,-51.86,44.6,OBIS, , ,1369440,3022.50041229,-51.875,44.625,-23.1938580837,2
Aatl,-63.84642,47.88217,OBIS, , ,1292370,2281.60280028,-63.875,47.875,-110.440708659,2
Aatl,-67.163,49.1452,OBIS, , ,1264583,3568.78743548,-67.125,49.125,128.997588385,2
Aatl,-63.5848,67.5718,OBIS, , ,900410,3772.29654434,-63.625,67.5416666667,-152.968643513,2
Aatl,-61.053,58.513,OBIS, , ,1049678,3260.64662728,-61.0416666667,58.5416666667,11.6785470711,2
Aatl,-62.183,47.64775,OBIS, , ,1297956,3165.79288359,-62.2083333333,47.625,-143.023859022,2
Aatl,-57.9795,50.5643,OBIS, , ,1232672,2930.73163091,-57.9583333333,50.5416666667,149.204976273,2
Aatl,-65.91258,45.0735,OBIS, , ,1358977,4612.77550732,-65.875,45.0416666667,140.066758365,2
Aatl,-65.60475,42.881,OBIS, , ,1414908,1783.68769143,-65.625,42.875,-111.936338382,2
Aatl,-56.13,54.28,OBIS, , ,1153187,1338.82372672,-56.125,54.2916666667,14.0746326657,2
Aatl,-62.0393,49.79,OBIS, , ,1249533,251.803841365,-62.0416666667,49.7916666667,-42.5913719785,2
Aatl,-64.23,61.4,OBIS, , ,988700,3016.9828171,-64.2083333333,61.375,157.419116497,2
Aatl,-60.1408,49.3548,OBIS, , ,1259023,2522.73824505,-60.125,49.375,27.0538188479,2
Aatl,-57.90784,44.29833,OBIS, , ,1377866,2723.46426941,-57.875,44.2916666667,105.763844612,2
Aatl,-61.89,49.46,OBIS, , ,1257111,1103.13739655,-61.875,49.4583333333,99.6678203025,2
Aatl,-63.37458,48.60992,OBIS, , ,1275787,1677.216885,-63.375,48.625,-1.05776688601,2
Aatl,-58.560833,50.306389,OBIS, , ,1238140,2132.30457504,-58.5416666667,50.2916666667,140.168354633,2
Aatl,-69.04833221,42.18999863,OBIS, , ,1433126,2109.66249819,-69.0416666667,42.2083333333,15.1242991342,2
Aatl,-50.04166794,46.75,OBIS, , ,1319154,4631.89821618,-50.0416666667,46.7083333333,179.998795545,2
Aatl,-62.50575,47.53625,OBIS, , ,1299848,2770.33783689,-62.5416666667,47.5416666667,-77.4312132234,2
Aatl,-69.661,61.3035,OBIS, , ,990095,2337.14259249,-69.625,61.2916666667,124.331571502,2
Aatl,-58.56,49.84,OBIS, , ,1247674,4110.07998223,-58.5416666667,49.875,18.7012073494,2
Aatl,-63.9392,49.9992,OBIS, , ,1245697,4748.20046808,-63.9583333333,49.9583333333,-163.19264937,2
Aatl,-69.1564,61.5981,OBIS, , ,984343,3429.65961318,-69.125,61.625,29.0527239217,2
Aatl,-63.784722,48.808889,OBIS, , ,1272067,1982.01184578,-63.7916666667,48.7916666667,-165.081169294,2
Aatl,-57.6885,44.47659,OBIS, , ,1373598,2570.29270535,-57.7083333333,44.4583333333,-142.112245164,2
Aatl,-51.56,44.52,OBIS, , ,1371550,2814.33038316,-51.5416666667,44.5416666667,31.1786775692,2
Aatl,-57.79,56.4,OBIS, , ,1103147,2785.62417788,-57.7916666667,56.375,-177.881410038,2
Aatl,-60.32,49.56,OBIS, , ,1255240,2891.57049681,-60.2916666667,49.5416666667,134.832269212,2
Aatl,-64.22134,48.15992,OBIS, , ,1286845,4001.6939171,-64.2083333333,48.125,165.997303825,2
Aatl,-51.575,52.408333,OBIS, , ,1194123,4348.2194303,-51.5416666667,52.375,148.528575422,2
Aatl,-61.19,48.93,OBIS, , ,1268367,3425.17818391,-61.2083333333,48.9583333333,-23.0777609674,2
Aatl,-64.79325,43.05275,OBIS, , ,1410483,1238.02793319,-64.7916666667,43.0416666667,174.018143474,2
Aatl,-62.4607,49.9402,OBIS, , ,1245715,2024.07572888,-62.4583333333,49.9583333333,4.81296109824,2
Aatl,21.91592667,71.15929217,OBIS, , ,819981,4101.37364199,21.875,71.125,-158.872719543,2
Aatl,-49.95,49.516666,OBIS, , ,1255346,2845.26538379,-49.9583333333,49.5416666667,-12.2381210078,2
Aatl,-60.317,57.94,OBIS, , ,1064225,2533.74210599,-60.2916666667,57.9583333333,36.2933640824,2
