Sps,longitude,latitude,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Dcon,-16.75,66.25,917250,5009.16430697,-16.7083333333,66.2916666667,1
Dcon,8.420517182,55.01196869,1136348,4096.20925652,8.45833333333,55.0416666667,1
Dcon,1.615055,50.77295,1227936,2197.07745603,1.625,50.7916666667,1
Dcon,-65.40000153,44.85000038,1363074,3409.23604351,-65.375,44.875,1
Dcon,-5.756049,56.675,1095680,4305.87450367,-5.79166666667,56.7083333333,1
Dcon,-2.851067,50.706522,1229690,1702.55039451,-2.875,50.7083333333,1
Dcon,-3.508712296,51.37383712,1215495,2298.2964389,-3.54166666667,51.375,1
Dcon,-3.531144,58.159678,1060682,3911.8484506,-3.54166666667,58.125,1
Dcon,-6.265795,58.27731,1056506,2204.65905806,-6.29166666667,58.2916666667,1
Dcon,-6.32217,54.027562,1159429,2541.48747848,-6.29166666667,54.0416666667,1
Dcon,-6.688668,52.055176,1201494,2019.80468584,-6.70833333333,52.0416666667,1
Dcon,-9.918798,52.58613,1189437,5087.54152302,-9.95833333333,52.625,1
Dcon,-6.98018,52.058061,1201491,2360.87920134,-6.95833333333,52.0416666667,1
Dcon,-10.146048,54.199842,1155664,1667.2648124,-10.125,54.2083333333,1
Dcon,0.884749,51.573375,1211926,3592.04175381,0.875,51.5416666667,1
Dcon,-6.042386,53.484173,1172196,2876.2255217,-6.04166666667,53.4583333333,1
Dcon,-7.028816971,55.18928321,1132196,2273.16641395,-7.04166666667,55.2083333333,1
Dcon,-154.12925,56.946533,1088546,1339.27934528,-154.125,56.9583333333,1
Dcon,-6.617379,58.355015,1054441,2270.26193299,-6.625,58.375,1
Dcon,-5.127559523,54.85162346,1140178,2607.48476216,-5.125,54.875,1
Dcon,-4.810609,50.315926,1238768,3017.11643355,-4.79166666667,50.2916666667,1
Dcon,-1.306162,50.574224,1233324,3764.51787506,-1.29166666667,50.5416666667,1
Dcon,-10.387,51.884,1204888,1298.31532332,-10.375,51.875,1
Dcon,-1.096623,60.32101,1009852,3626.26116417,-1.125,60.2916666667,1
Dcon,-2.812935,56.459478,1101767,1317.40354032,-2.79166666667,56.4583333333,1
Dcon,-6.127,53.29,1175694,228.457463378,-6.125,53.2916666667,1
Dcon,-70.67305556,41.52511111,1451576,3471.07075483,-70.7083333333,41.5416666667,1
