Sp,lon,lat,source,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Acla,15.5575,75.99611,Ronowicz et al 2020,640548,4238.6312519,15.5416666667,75.9583333333,1
Acla,-63.523,59.2985,Arctic Amazing Race,1031455,1308.00999063,-63.5416666667,59.2916666667,1
Acla,-63.73,59.4288,Arctic Amazing Race,1027588,3512.23133573,-63.7083333333,59.4583333333,1
Acla,-77.43517,72.76847,PICKeR,762896,2699.50170191,-77.4583333333,72.7916666667,1
Acla,-67.99166667,66.266,Pangnirtung NFA,916863,3229.95853826,-67.9583333333,66.2916666667,1
Acla,-82.92186667,64.87203333,SIMEP,934865,1759.82632943,-82.9583333333,64.875,1
Acla,-80.17605,63.78193333,SIMEP,950057,1926.33852673,-80.2083333333,63.7916666667,1
Acla,-80.84041667,63.51851667,SIMEP,953823,3101.53905751,-80.875,63.5416666667,1
Acla,-81.9684,62.9438,SIMEP,962819,1698.57297043,-81.9583333333,62.9583333333,1
Acla,-82.35773333,63.64275,SIMEP,952543,2155.81837764,-82.375,63.625,1
Acla,-87.31999217,63.69168333,SIMEP,951253,2325.34108427,-87.2916666667,63.7083333333,1
Acla,-86.40566667,64.32926667,SIMEP,942790,4446.63358105,-86.375,64.2916666667,1
Acla,-78.39088,70.19653,CAISN DFO,846640,1447.29804072,-78.375,70.2083333333,1
Acla,-76.634844,72.662252,PICKeR,768868,4169.99580391,-76.625,72.625,1
Acla,-55.7333,52.3667,Filbee-Dexter et al,1194073,1935.08294584,-55.7083333333,52.375,1
Acla,-55.6333,53.2167,Filbee-Dexter et al,1176862,1083.72944665,-55.625,53.2083333333,1
Acla,-69.6745,60.0568,Filbee-Dexter et al,1014301,2529.10087941,-69.7083333333,60.0416666667,1
Acla,-51.6,70.6667,Filbee-Dexter et al,832244,4735.89898051,-51.625,70.7083333333,1
Acla,-178.4067,51.5521,Filbee-Dexter et al,1210655,2486.57966501,-178.375,51.5416666667,1
Acla,-177.0966,51.6102,Filbee-Dexter et al,1208904,2565.2805097,-177.125,51.625,1
