Sp,lon,lat,Source,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Aesc,9.73,57.380001,GBIF,1079563,1417.37755137,9.70833333333,57.375,1
Aesc,10.58,57.720001,GBIF,1071367,2628.47382658,10.5416666667,57.7083333333,1
Aesc,-6.7,61.380001,GBIF,989325,713.492459749,-6.70833333333,61.375,1
Aesc,-7.07,62.32,GBIF,974149,3483.03581072,-7.04166666667,62.2916666667,1
Aesc,-6.32,62.27,GBIF,974158,2827.48586796,-6.29166666667,62.2916666667,1
Aesc,-7.33,62.07,GBIF,978150,3740.38360469,-7.29166666667,62.0416666667,1
Aesc,4.67,61.57,GBIF,986579,3757.90314608,4.70833333333,61.5416666667,1
Aesc,-7.65,62.099998,GBIF,976805,3076.91664774,-7.625,62.125,1
Aesc,-46.049999,60.720001,GBIF,1001159,1377.3465086,-46.0416666667,60.7083333333,1
Aesc,-51.720001,64.18,GBIF,944256,3209.08898302,-51.7083333333,64.2083333333,1
Aesc,-47.169998,60.779999,GBIF,999587,2459.81455595,-47.2083333333,60.7916666667,1
Aesc,-48.669998,61.27,GBIF,990346,3171.12053259,-48.7083333333,61.2916666667,1
Aesc,6.329934337,58.31106016,GBIF,1056637,3114.61719268,6.29166666667,58.2916666667,1
Aesc,31.088378,70.398108,GBIF,842797,2920.68167705,31.125,70.375,1
Aesc,18.86448,69.845271,GBIF,856298,3341.14022144,18.875,69.875,1
Aesc,18.03607,69.631173,GBIF,862565,722.180614847,18.0416666667,69.625,1
Aesc,18.903705,69.634269,GBIF,862572,1521.08873536,18.875,69.625,1
Aesc,18.435326,69.899068,GBIF,856293,2826.60629721,18.4583333333,69.875,1
Aesc,-4.58,43.389999,GBIF,1402407,3525.02848301,-4.54166666667,43.375,1
Aesc,-20.284,63.431,GBIF,955670,3070.73536363,-20.2916666667,63.4583333333,1
Aesc,-18.289,65.91,GBIF,922495,3904.59895603,-18.2916666667,65.875,1
Aesc,-20.421,66.019,GBIF,920409,3042.18527897,-20.4583333333,66.0416666667,1
Aesc,7.88528,54.1825,GBIF,1155805,2952.71578037,7.875,54.2083333333,1
Aesc,8.43333,55.0,GBIF,1136348,4906.44558625,8.45833333333,55.0416666667,1
Aesc,-70.12,47.67,Muesuem,1296048,4278.56108127,-70.125,47.7083333333,1
Aesc,-64.28,48.77,Muesuem,1272061,2557.4621202,-64.2916666667,48.7916666667,1
Aesc,-67.38,49.33,Muesuem,1260834,4278.74569064,-67.375,49.2916666667,1
Aesc,-52.8,47.27,Muesuem,1305654,2489.96163937,-52.7916666667,47.2916666667,1
Aesc,-68.87,48.4,Muesuem,1281289,2804.50382513,-68.875,48.375,1
Aesc,-72.0,61.65,Muesuem,984311,3555.57527359,-71.9583333333,61.625,1
Aesc,-76.37,64.28,Muesuem,942855,1322.97136185,-76.375,64.2916666667,1
Aesc,-94.46,71.98,Muesuem,791704,2418.38029205,-94.4583333333,71.9583333333,1
Aesc,-124.76,70.18,Muesuem,846372,3380.39081457,-124.791666667,70.2083333333,1
Aesc,-57.38,50.53,Muesuem,1232679,1345.33306926,-57.375,50.5416666667,1
Aesc,-98.37,69.64,Muesuem,861644,1684.60176443,-98.375,69.625,1
Aesc,-91.55,70.15,Muesuem,848807,2806.95195857,-91.5416666667,70.125,1
Aesc,-92.75,69.71,Muesuem,859672,1623.93635498,-92.7083333333,69.7083333333,1
Aesc,-93.8,72.73,Muesuem,765803,2433.62743724,-93.7916666667,72.7083333333,1
Aesc,-93.93,74.65,Muesuem,689451,2913.54436493,-93.9583333333,74.625,1
Aesc,-96.92,76.9,Muesuem,605334,2955.04350222,-96.9583333333,76.875,1
Aesc,-93.92,74.13,Muesuem,710560,1296.91404176,-93.9583333333,74.125,1
Aesc,-54.95,47.52,Muesuem,1299938,2489.31191046,-54.9583333333,47.5416666667,1
