Sps,decimalLon,decimalLat,Field4,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Goce,-131.160004,70.010002, ,420125,0.0471952211245,-131.125001955,70.041660265,1
Goce,6.748,53.567001, ,739853,0.0470760702375,6.708325865,53.541660925,1
Goce,8.846054,54.032375, ,728900,0.0303918020309,8.874992445,54.041660905,1
Goce,18.38758,59.157297, ,605576,0.0346689725166,18.374992065,59.124994035,1
Goce,13.480652,54.343348, ,721328,0.0387292127079,13.458325595,54.374994225,1
Goce,22.99479,58.35489, ,623998,0.0416395722195,22.958325215,58.374994065,1
Goce,24.267029,58.28317, ,626087,0.0260519597112,24.291658495,58.291660735,1
Goce,14.25,54.06667, ,728920,0.0485892824123,14.291658895,54.041660905,1
Goce,12.78999996,54.72999954, ,713562,0.0217354004263,12.791658955,54.708327545,1
Goce,21.94091,58.40426, ,623996,0.0340556318124,21.958325255,58.374994065,1
Goce,26.65525,59.54968, ,595923,0.0313029074349,26.624991735,59.541660685,1
Goce,23.14195,58.83117, ,613745,0.0429949020783,23.124991875,58.791660715,1
Goce,17.50477,58.71027, ,615724,0.036939880025,17.541658765,58.708327385,1
Goce,11.1,54.2, ,725138,0.0263432372209,11.124992355,54.208327565,1
Goce,18.31123,56.93893, ,659137,0.0275553202518,18.291658735,56.958327455,1
Goce,24.36446,60.07282, ,584588,0.0328910853496,24.374991825,60.041660665,1
Goce,11.48,54.02, ,728910,0.0306426364666,11.458325675,54.041660905,1
Goce,24.4416,59.4707, ,597834,0.020804161941,24.458325155,59.458327355,1
Goce,11.38,54.61, ,715500,0.0158083235058,11.374992345,54.624994215,1
Goce,22.27921,58.56218, ,619888,0.024000159709,22.291658575,58.541660725,1
Goce,10.9438,54.7912, ,711612,0.0145330045413,10.958325695,54.791660875,1
Goce,13.0367,55.6867, ,689534,0.0221887383156,13.041658945,55.708327505,1
Goce,21.87327,60.29733, ,579299,0.0059250737071,21.874991925,60.291660655,1
Goce,-66.06,45.26, ,922220,0.0365838633987,-66.041671225,45.291661255,1
Goce,22.86735,58.62282, ,617848,0.00794511935065,22.874991885,58.624994055,1
Goce,22.06524,58.91616, ,611696,0.0474417430589,22.041658585,58.874994045,1
Goce,12.67,54.39, ,721321,0.0411585570081,12.708325625,54.374994225,1
Goce,22.70935,59.07637, ,607654,0.0347244196956,22.708325225,59.041660705,1
Goce,18.89033,57.44473, ,646881,0.0204973925698,18.874992045,57.458327435,1
Goce,18.415,62.9701, ,533098,0.0417041164589,18.374992065,62.958327215,1
Goce,23.41338,58.64236, ,617853,0.0421334185003,23.374991865,58.624994055,1
Goce,-69.780728,47.784906, ,863511,0.0128601325627,-69.791671075,47.791661155,1
Goce,16.3078,56.6513, ,667208,0.0308631882119,16.291658815,56.624994135,1
Goce,22.09663,58.11475, ,630241,0.030155253192,22.124991915,58.124994075,1
Goce,9.6565,54.8822, ,709636,0.0323210673418,9.624992415,54.874994205,1
Goce,12.5633,55.9367, ,683435,0.030595472473,12.541658965,55.958327495,1
Goce,18.54000092,69.37999725, ,437645,0.0052711080959,18.541658725,69.374993625,1
Goce,14.09,54.74, ,713578,0.0471974672628,14.124992235,54.708327545,1
Goce,16.6741,57.0824, ,657085,0.0532077634681,16.708325465,57.041660785,1
Goce,14.7587,56.1233, ,679337,0.0330023878292,14.791658875,56.124994155,1
Goce,21.24872,60.9821, ,566441,0.0468708278458,21.208325285,60.958327295,1
Goce,8.0167,56.0167, ,681354,0.0352987493236,8.041659145,56.041660825,1
Goce,14.912,55.92465, ,683447,0.0500374915462,14.874992205,55.958327495,1
Goce,8.5491,55.3371, ,697604,0.0386178181359,8.541659125,55.374994185,1
