Sps,lon,lat,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Mqua,-79.083333,53.666667, , ,1166206,5392.88713482,-79.0416666667,53.7083333333,2
Mqua,-79.48054722,54.29236667,DFO Arctic database, ,1153159,1448.57592565,-79.4583333333,54.2916666667,2
Mqua,-79.06972222,54.02472222,DFO Arctic database, ,1158835,2633.70291114,-79.0416666667,54.0416666667,2
Mqua,-79.18944444,51.55666667,DFO Arctic database, ,1211278,2121.76878584,-79.2083333333,51.5416666667,2
Mqua,-78.95660833,51.44702778,DFO Arctic database, ,1213051,1263.52375516,-78.9583333333,51.4583333333,2
Mqua,-79.57111111,51.89527778,DFO Arctic database, ,1204330,3033.25963188,-79.5416666667,51.875,2
Mqua,-79.28694444,51.73861111,DFO Arctic database, ,1207766,3384.5354107,-79.2916666667,51.7083333333,2
Mqua,-79.43666667,51.67694444,DFO Arctic database, ,1207764,3800.16687567,-79.4583333333,51.7083333333,2
Mqua,-78.9,51.95,DFO Arctic database, ,1202635,1952.86436733,-78.875,51.9583333333,2
Mqua,-79.19166667,54.15833333,DFO Arctic database, ,1156965,3866.83030492,-79.2083333333,54.125,2
Mqua,-136.45,72.0,DFO Arctic database, ,788647,4658.2995085,-136.458333333,72.0416666667,2
Mqua,17.33343,61.16153, , ,993994,4645.78697605,17.375,61.125,1
Mqua,19.80467,63.53633, , ,954736,878.721064029,19.7916666667,63.5416666667,1
Mqua,17.764373,62.505449, , ,970313,4274.30939609,17.7916666667,62.5416666667,1
Mqua,-93.859,58.757, , ,1043276,3970.94736346,-93.875,58.7916666667,1
Mqua,-94.214,58.805, , ,1043272,1520.9215798,-94.2083333333,58.7916666667,1
Mqua,-119.583333,74.2, , ,706749,1571.34550088,-119.541666667,74.2083333333,1
Mqua,-138.766667,69.621667, , ,861408,1040.55774504,-138.791666667,69.625,1
Mqua,-114.9799,69.2749, , ,869109,2055.18765491,-114.958333333,69.2916666667,1
Mqua,-105.116667,69.116667, , ,872579,986.918736278,-105.125,69.125,1
Mqua,-77.783333,55.4, , ,1127491,2832.93439071,-77.7916666667,55.375,1
Mqua,-137.95,69.11, , ,872464,1705.80856039,-137.958333333,69.125,1
Mqua,-92.412222,57.13245, , ,1084700,2402.07048011,-92.375,57.125,1
Mqua,-76.55,56.916667, , ,1088954,4667.55939695,-76.5416666667,56.9583333333,1
Mqua,-78.102778,58.441667, , ,1051683,2264.89487411,-78.125,58.4583333333,1
Mqua,-122.1972,69.8038, , ,857426,1420.02315548,-122.208333333,69.7916666667,1
Mqua,-94.219167,58.986667, , ,1039189,3217.14963249,-94.2083333333,58.9583333333,1
Mqua,-138.466667,69.266667, , ,868999,2808.14503295,-138.458333333,69.2916666667,1
Mqua,-107.518611,66.549444, , ,913411,1342.25297364,-107.541666667,66.5416666667,1
Mqua,-138.813333,69.463333, , ,865310,1015.55992972,-138.791666667,69.4583333333,1
Mqua,-118.45,69.133333, , ,872494,986.881613781,-118.458333333,69.125,1
Mqua,-76.283333,56.25, , ,1105103,4668.08938811,-76.2916666667,56.2916666667,1
Mqua,-138.72,69.345, , ,867180,3377.96429579,-138.708333333,69.375,1
Mqua,-90.9,65.916667, , ,920930,4783.3831304,-90.875,65.9583333333,1
Mqua,-129.75,70.286667, , ,843968,1665.23794241,-129.708333333,70.2916666667,1
Mqua,-134.466667,69.7, , ,859421,984.08058068,-134.458333333,69.7083333333,1
Mqua,-134.833333,69.483333, , ,865358,3230.94498178,-134.791666667,69.4583333333,1
Mqua,-78.65,52.191667, , ,1197504,2522.05674733,-78.625,52.2083333333,1
Mqua,-137.198333,69.303333, , ,869014,1359.95232321,-137.208333333,69.2916666667,1
Mqua,-82.4556,74.5389, , ,693054,319.336616032,-82.4583333333,74.5416666667,1
Mqua,-124.0213,71.6833, , ,799947,2883.14666435,-124.041666667,71.7083333333,1
Mqua,-115.5828,79.6513, , ,497464,3050.6205986,-115.541666667,79.625,1
Mqua,-107.466667,71.816667, , ,797201,2804.72829632,-107.458333333,71.7916666667,1
Mqua,-113.666667,72.633333, , ,768663,1671.55895887,-113.708333333,72.625,1
Mqua,-84.7,73.083333, , ,753644,4657.78380549,-84.7083333333,73.0416666667,1
Mqua,-90.25,68.333333, , ,886982,4954.19986361,-90.2083333333,68.375,1
Mqua,-84.75,72.866667, , ,759788,1656.04934351,-84.7083333333,72.875,1
Mqua,-129.566667,70.15, , ,848583,2945.92542404,-129.541666667,70.125,1
Mqua,-94.6,71.766667, , ,797296,2922.91615473,-94.625,71.7916666667,1
Mqua,-77.325,55.55, , ,1123443,2299.551454,-77.2916666667,55.5416666667,1
Mqua,-128.033333,70.35, , ,841603,2806.63837626,-128.041666667,70.375,1
Mqua,-77.158333,55.658333, , ,1121410,4263.578831,-77.125,55.625,1
Mqua,-116.816667,71.266667, , ,813693,2929.75667558,-116.791666667,71.2916666667,1
Mqua,-82.44,54.361667, , ,1151196,1903.28368531,-82.4583333333,54.375,1
Mqua,-81.785556,69.3675, , ,867544,870.496691818,-81.7916666667,69.375,1
Mqua,-110.416667,74.766667, , ,682467,3046.03430919,-110.458333333,74.7916666667,1
Mqua,-79.75,72.483333, , ,774641,3121.91259931,-79.7083333333,72.4583333333,1
Mqua,-131.973333,69.736667, , ,859451,3213.70525701,-131.958333333,69.7083333333,1
Mqua,-106.95,68.4, , ,886831,2809.50074158,-106.958333333,68.375,1
Mqua,-94.833333,74.683333, , ,686016,3048.70612558,-94.7916666667,74.7083333333,1
Mqua,-118.195833,70.852778, , ,826848,2521.23158516,-118.208333333,70.875,1
Mqua,-132.333333,70.033333, , ,850791,1840.34638835,-132.291666667,70.0416666667,1
Mqua,-121.7,71.483333, , ,808218,2805.09215223,-121.708333333,71.4583333333,1
Mqua,-93.8,72.725, , ,765803,1880.33962043,-93.7916666667,72.7083333333,1
Mqua,-107.666667,68.366667, , ,886826,1950.34613842,-107.708333333,68.375,1
Mqua,-92.1,70.116667, , ,848800,1328.57876988,-92.125,70.125,1
Mqua,-127.333333,70.628333, , ,834205,1587.39295711,-127.291666667,70.625,1
Mqua,-78.833333,51.616667, , ,1209523,3030.95465203,-78.7916666667,51.625,1
Mqua,-113.0,75.05, , ,672872,1518.80455459,-112.958333333,75.0416666667,1
Mqua,-127.646667,70.25, , ,846338,4720.01184264,-127.625,70.2083333333,1
Mqua,-95.95,68.633333, , ,882374,989.397049532,-95.9583333333,68.625,1
Mqua,-103.3,69.716667, , ,859575,984.070733123,-103.291666667,69.7083333333,1
Mqua,-92.058333,62.783333, , ,965315,1259.52422589,-92.0416666667,62.7916666667,1
Mqua,-131.4,69.95, , ,853012,1334.05085062,-131.375,69.9583333333,1
Mqua,-140.833333,69.616667, , ,861384,1867.73941854,-140.791666667,69.625,1
Mqua,-100.616667,67.8, , ,896676,993.710248871,-100.625,67.7916666667,1
Mqua,-110.666667,67.883333, , ,895336,1982.93398607,-110.708333333,67.875,1
Mqua,-131.666667,70.266667, , ,843944,3200.52007947,-131.708333333,70.2916666667,1
Mqua,-77.0,72.8, , ,762901,1660.88151329,-77.0416666667,72.7916666667,1
Mqua,-83.15,64.116667, , ,945197,1531.83012333,-83.125,64.125,1
Mqua,-105.25,69.416667, , ,865483,4926.89725828,-105.208333333,69.4583333333,1
Mqua,-77.266667,60.033333, , ,1014286,1674.40794439,-77.2916666667,60.0416666667,1
Mqua,-128.475,70.01, , ,850834,3589.53859639,-128.458333333,70.0416666667,1
Mqua,-77.583333,58.233333, , ,1057903,3708.01751461,-77.5416666667,58.2083333333,1
Mqua,-102.233333,67.716667, , ,897921,1408.65153132,-102.208333333,67.7083333333,1
Mqua,-120.0,74.283333, , ,703218,1566.13784887,-119.958333333,74.2916666667,1
Mqua,-138.333333,69.166667, , ,870749,4933.08983449,-138.291666667,69.2083333333,1
Mqua,-94.033333,61.1, , ,992885,2821.77716429,-94.0416666667,61.125,1
Mqua,-123.7,69.35, , ,867274,2808.05930225,-123.708333333,69.375,1
Mqua,-86.716667,66.533333, , ,913415,1000.42842703,-86.7083333333,66.5416666667,1
Mqua,-115.033333,67.833333, , ,896575,4660.43978989,-115.041666667,67.7916666667,1
Mqua,-67.35,63.466667, , ,955238,1554.76452683,-67.375,63.4583333333,1
Mqua,-111.95,67.75, , ,896612,4660.49919799,-111.958333333,67.7916666667,1
Mqua,-69.083333,58.933333, , ,1039389,3675.41019715,-69.0416666667,58.9583333333,1
Mqua,-97.0,68.5, , ,883923,4949.91192593,-96.9583333333,68.5416666667,1
Mqua,-81.516667,52.283333, , ,1195756,1941.65465929,-81.5416666667,52.2916666667,1
