Sps,lon,lat,Field4,Field5,Field6,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Mtru,10.6404,56.5627, , , ,669200,0.0260776270851,10.624992375,56.541660805,1
Mtru,-4.83427,54.71115, , , ,713394,0.0408346645462,-4.875007005,54.708327545,1
Mtru,12.72,56.565, , , ,669225,0.0260961501929,12.708325625,56.541660805,1
Mtru,-4.162658198,53.34605666, , , ,743294,0.0474867882509,-4.125007035,53.374994265,1
Mtru,11.636,56.0028, , , ,681373,0.0403897562314,11.624992335,56.041660825,1
Mtru,10.652,56.1977, , , ,677271,0.0290233568969,10.624992375,56.208327485,1
Mtru,3.85,51.79166667, , , ,776000,0.0249926456443,3.874992645,51.791660995,1
Mtru,-5.27,51.73, , , ,777693,0.0306502434805,-5.291673655,51.708327665,1
Mtru,1.04615,53.14748, , , ,748479,0.0229297425325,1.041659425,53.124994275,1
Mtru,4.276944444,53.62777778, , , ,738033,0.0149758088722,4.291659295,53.624994255,1
Mtru,-68.43528,63.66667, , , ,520721,0.0476128446156,-68.458337795,63.708327185,1
Mtru,11.153333,54.6, , , ,715497,0.0377876030264,11.124992355,54.624994215,1
Mtru,1.5,51.25, , , ,786625,0.0589164340043,1.541659405,51.291661015,1
Mtru,10.6617,56.8325, , , ,663133,0.0549116599473,10.624992375,56.791660795,1
Mtru,-5.372,55.011, , , ,705544,0.030807963278,-5.375006985,55.041660865,1
Mtru,-3.50627,54.74778, , , ,713410,0.0530086780575,-3.541673725,54.708327545,1
Mtru,57.2085,70.17266667, , , ,417084,0.0356606900837,57.208323845,70.208326925,1
Mtru,12.6998,55.8268, , , ,687510,0.0361586393347,12.708325625,55.791660835,1
Mtru,-6.16078,54.05694, , , ,728751,0.0388993765065,-6.125006955,54.041660905,1
Mtru,11.9883,57.3033, , , ,650948,0.0321548272703,11.958325655,57.291660775,1
Mtru,-5.35192,55.97336, , , ,683262,0.0275496838996,-5.375006985,55.958327495,1
Mtru,3.48333333,51.475, , , ,783065,0.0300555024032,3.458325995,51.458327675,1
Mtru,0.25089,53.87998, , , ,732483,0.0410731812004,0.291659455,53.874994245,1
Mtru,2.536846599,51.13187474, , , ,790173,0.00839657158123,2.541659365,51.124994355,1
Mtru,11.75,54.18000031, , , ,725146,0.0503776263856,11.791658995,54.208327565,1
Mtru,1.615055,50.77295, , , ,797256,0.0211863495605,1.624992735,50.791661035,1
Mtru,2.07599,53.7008, , , ,736186,0.0351462040939,2.041659385,53.708327585,1
Mtru,-4.652259014,52.75883542, , , ,755343,0.0426636519479,-4.625007015,52.791660955,1
Mtru,-0.641298333,54.54770833, , , ,717306,0.0173773824268,-0.625007175,54.541660885,1
Mtru,10.3006,55.9771, , , ,683410,0.0207929661537,10.291659055,55.958327495,1
Mtru,-3.65048,50.24437, , , ,809994,0.044135207195,-3.625007055,50.208327725,1
Mtru,9.8789,55.1497, , , ,703679,0.0250129186498,9.874992405,55.124994195,1
Mtru,12.283333,54.495, , , ,719387,0.0376057187403,12.291658975,54.458327555,1
Mtru,-2.95566,59.14471, , , ,605443,0.0198973340037,-2.958340415,59.124994035,1
Mtru,11.0693,55.8612, , , ,685472,0.0308917867239,11.041659025,55.874994165,1
Mtru,-4.10588,53.6703, , , ,736139,0.0425668966313,-4.125007035,53.708327585,1
Mtru,3.288889,52.898056, , , ,753651,0.0232275150361,3.291659335,52.874994285,1
Mtru,-131.5899963,54.16999817, , , ,724338,0.0519089298948,-131.625001935,54.208327565,1
Mtru,-5.12895,58.25914, , , ,625840,0.032758899453,-5.125006995,58.291660735,1
Mtru,10.0367,55.679, , , ,689505,0.0297438207902,10.041659065,55.708327505,1
Mtru,-5.39599,58.01563, , , ,632089,0.0334348112563,-5.375006985,58.041660745,1
Mtru,-132.6000061,54.0, , , ,728087,0.0485841617516,-132.625001895,54.041660905,1
Mtru,4.96944,53.8703, , , ,732539,0.0120647576413,4.958325935,53.874994245,1
Mtru,-7.20492,57.42193, , , ,646683,0.0365577809835,-7.208340245,57.458327435,1
Mtru,-67.0555366,44.9095235, , , ,932374,0.0372087936252,-67.041671185,44.874994605,1
Mtru,0.72517,53.57874, , , ,739781,0.0407256013047,0.708326105,53.541660925,1
Mtru,-5.025526,55.706101, , , ,689373,0.0163004420022,-5.041673665,55.708327505,1
Mtru,-4.06975,51.51335, , , ,781233,0.0398721876129,-4.041673705,51.541661005,1
Mtru,0.38073,53.43184, , , ,741556,0.0271018140507,0.374992785,53.458327595,1
Mtru,25.34167,75.92167, , , ,208424,0.0495384158397,25.374991785,75.958326695,1
Mtru,1.00493,54.6282, , , ,715386,0.0368690618039,1.041659425,54.624994215,1
Mtru,1.62783,53.59617, , , ,738001,0.0289635589834,1.624992735,53.624994255,1
Mtru,-5.10222,55.51888, , , ,693424,0.0322213289615,-5.125006995,55.541660845,1
Mtru,-0.39722,50.65627, , , ,800843,0.0383610983858,-0.375007185,50.624994375,1
Mtru,-5.5973,54.4667, , , ,719217,0.0289443310327,-5.625006975,54.458327555,1
Mtru,-5.71759,57.01094, , , ,656913,0.0320830716829,-5.708340305,57.041660785,1
Mtru,4.615544,52.618921, , , ,758835,0.0112321519566,4.624992615,52.624994295,1
