Sp,lon,lat,Source,Field5,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Slat,-69.06128693,44.20948029,OBIS, ,1379904,1573.30483711,-69.0416666667,44.2083333333,1
Slat,-4.157336764,57.50440358,OBIS, ,1075333,4579.97486255,-4.125,57.5416666667,1
Slat,-3.85667487,57.82906547,OBIS, ,1069100,4305.35696767,-3.875,57.7916666667,1
Slat,-70.59200287,43.16600037,OBIS, ,1408216,5287.05111519,-70.625,43.125,1
Slat,-64.83000183,46.95999908,OBIS, ,1313208,2923.71003881,-64.7916666667,46.9583333333,1
Slat,-71.04972076,42.3572197,OBIS, ,1428484,2083.49677224,-71.0416666667,42.375,1
Slat,-4.967699,50.58188,OBIS, ,1233296,4522.28260016,-4.95833333333,50.5416666667,1
Slat,-3.19155,58.845085,OBIS, ,1042185,3470.21243168,-3.20833333333,58.875,1
Slat,-2.161218,55.833123,OBIS, ,1118038,5143.97613734,-2.125,55.7916666667,1
Slat,-70.24314117,43.66230011,OBIS, ,1395094,5006.21234061,-70.2083333333,43.625,1
Slat,-3.847226203,53.3135953,OBIS, ,1175718,3063.38628453,-3.875,53.2916666667,1
Slat,-23.03,64.72,OBIS, ,937526,1414.64905237,-23.0416666667,64.7083333333,1
Slat,-9.92798,54.26553,OBIS, ,1153741,3517.51812397,-9.95833333333,54.2916666667,1
Slat,-0.076735,54.114402,OBIS, ,1157600,2578.66756823,-0.0416666666667,54.125,1
Slat,-153.388683,57.156683,OBIS, ,1084459,3624.23974675,-153.375,57.125,1
Slat,-17.63333,65.98333,OBIS, ,921477,2812.90597401,-17.625,65.9583333333,1
Slat,-60.63,46.11,OBIS, ,1332805,1711.51463381,-60.625,46.125,1
Slat,-1.429640447,50.72969953,OBIS, ,1229700,3123.34890778,-1.45833333333,50.7083333333,1
Slat,-2.001357,50.529774,OBIS, ,1233315,3149.14570182,-2.04166666667,50.5416666667,1
Slat,-0.299,50.787158,OBIS, ,1227914,720.394420207,-0.291666666667,50.7916666667,1
Slat,-2.329268,56.821056,OBIS, ,1093672,3998.32144009,-2.29166666667,56.7916666667,1
Slat,-3.684417,50.247767,OBIS, ,1240673,4706.63386505,-3.70833333333,50.2083333333,1
Slat,141.75,45.4,OBIS, ,1351772,4285.73968992,141.791666667,45.375,1
Slat,-9.740788,51.460563,OBIS, ,1213626,2269.26776649,-9.70833333333,51.4583333333,1
Slat,-6.3435,49.914164,OBIS, ,1248281,4909.00425237,-6.375,49.875,1
Slat,-9.774966,52.678245,OBIS, ,1187719,3533.5188733,-9.79166666667,52.7083333333,1
Slat,-8.82,42.23,OBIS, ,1433849,3356.29878289,-8.79166666667,42.2083333333,1
Slat,-5.350946,55.787551,OBIS, ,1118031,1576.98145401,-5.375,55.7916666667,1
Slat,-3.173030082,54.07187394,OBIS, ,1159466,4080.38764315,-3.20833333333,54.0416666667,1
Slat,-8.93999958,42.54000092,OBIS, ,1424639,1517.36008587,-8.95833333333,42.5416666667,1
Slat,-62.38,44.91,OBIS, ,1363081,3909.54127446,-62.375,44.875,1
Slat,-5.681200899,56.49709035,OBIS, ,1101757,4628.15835464,-5.70833333333,56.4583333333,1
Slat,-6.816999912,61.53300095,OBIS, ,986441,1657.80632396,-6.79166666667,61.5416666667,1
