Sps,lon,lat,Source,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Mdes,-68.5944,70.4680999,OBIS, , ,839524,1578.82517876,-68.625,70.4583333333,1
Mdes,-55.16,52.82,OBIS, , ,1185454,3938.60590237,-55.125,52.7916666667,1
Mdes,-67.35,62.858333,OBIS, , ,964260,2251.78428298,-67.375,62.875,1
Mdes,-65.5,65.166667,OBIS, , ,930722,5038.98792757,-65.4583333333,65.2083333333,1
Mdes,-163.4499969,69.58333588,OBIS, , ,861370,4659.22819115,-163.458333333,69.625,1
Mdes,-69.84911,62.83357,OBIS, , ,964258,4802.29444075,-69.875,62.875,1
Mdes,-77.81666667,55.28333333,OBIS, , ,1129532,1839.48272765,-77.7916666667,55.2916666667,1
Mdes,-94.57916667,71.76666667,OBIS, , ,797297,3081.5457068,-94.5416666667,71.7916666667,1
Mdes,-66.8119,68.4328,OBIS, , ,885646,2966.4809893,-66.7916666667,68.4583333333,1
Mdes,-82.0,62.95,OBIS, , ,962819,2309.67640041,-81.9583333333,62.9583333333,1
Mdes,-76.75,64.283333,OBIS, , ,942851,2221.45195442,-76.7083333333,64.2916666667,1
Mdes,-67.8,63.45,OBIS, , ,955233,1017.68095942,-67.7916666667,63.4583333333,1
Mdes,-85.16666412,73.16000366,OBIS, , ,750516,4132.78868802,-85.125,73.125,1
Mdes,-86.25,66.51666667,OBIS, , ,913421,3347.28510056,-86.2083333333,66.5416666667,1
Mdes,-65.71666667,66.13333333,OBIS, , ,919065,1002.60418472,-65.7083333333,66.125,1
Mdes,-76.81666667,57.41666667,OBIS, , ,1076697,4877.17794963,-76.7916666667,57.4583333333,1
Mdes,-75.5,64.33333333,OBIS, , ,941685,5062.52771107,-75.4583333333,64.375,1
Mdes,-116.0416667,69.08611111,OBIS, , ,872523,4338.07548933,-116.041666667,69.125,1
Mdes,-84.53333333,73.06666667,OBIS, , ,753646,2803.10509414,-84.5416666667,73.0416666667,1
Mdes,-83.16666667,64.16666667,OBIS, , ,943981,5067.28158174,-83.125,64.2083333333,1
Mdes,-77.4,62.533333,OBIS, , ,969418,1587.01542409,-77.375,62.5416666667,1
Mdes,-67.91666667,63.73333333,OBIS, , ,951405,3465.03169128,-67.9583333333,63.7083333333,1
Mdes,-158.0166626,70.80999756,OBIS, , ,828930,2241.82614849,-158.041666667,70.7916666667,1
Mdes,-93.33333333,72.81666667,OBIS, , ,762801,3110.52681911,-93.2916666667,72.7916666667,1
Mdes,-76.76666667,56.0,OBIS, , ,1111210,4894.19432106,-76.7916666667,56.0416666667,1
Mdes,-82.4556,74.5389,OBIS, , ,693054,319.336616032,-82.4583333333,74.5416666667,1
Mdes,-66.18333435,64.98000336,OBIS, , ,933869,2689.10571188,-66.2083333333,64.9583333333,1
Mdes,-76.13333333,64.38333333,OBIS, , ,941677,1012.3627864,-76.125,64.375,1
Mdes,-66.83333333,58.45,OBIS, , ,1051701,2603.67013721,-66.7916666667,58.4583333333,1
Mdes,-77.959316,72.699796,OBIS, , ,765899,953.27563193,-77.9583333333,72.7083333333,1
Mdes,-164.5333405,67.73000336,OBIS, , ,897856,2442.45858852,-164.541666667,67.7083333333,1
Mdes,-166.5,65.25,OBIS, , ,929485,5036.69680809,-166.458333333,65.2916666667,1
Mdes,-67.11666667,66.43333333,OBIS, , ,914670,2812.52533443,-67.125,66.4583333333,1
Mdes,-77.18333333,55.66666667,OBIS, , ,1119382,4898.24004235,-77.2083333333,55.7083333333,1
Mdes,-67.5,59.5,OBIS, , ,1025638,5206.66494458,-67.4583333333,59.5416666667,1
Mdes,-79.43333333,54.76666667,OBIS, , ,1141513,3214.45112599,-79.4583333333,54.7916666667,1
Mdes,-117.4416667,69.85833333,OBIS, , ,855329,1966.56796548,-117.458333333,69.875,1
Mdes,-67.0,63.0,OBIS, , ,961673,5101.03643979,-66.9583333333,63.0416666667,1
Mdes,-71.66666667,61.5,OBIS, , ,985730,5145.56517241,-71.7083333333,61.5416666667,1
Mdes,-69.467,61.43,OBIS, , ,987196,3191.04205006,-69.4583333333,61.4583333333,1
Mdes,-64.66666667,62.51666667,OBIS, , ,969539,3516.54261762,-64.7083333333,62.5416666667,1
Mdes,-83.65,62.741667,OBIS, , ,966725,3929.17716976,-83.625,62.7083333333,1
Mdes,-68.383333,58.783333,OBIS, , ,1043475,1045.92378937,-68.375,58.7916666667,1
Mdes,-114.9800034,69.27500153,OBIS, , ,869109,2046.5891853,-114.958333333,69.2916666667,1
Mdes,-103.316667,69.775,OBIS, , ,857489,2094.63371584,-103.291666667,69.7916666667,1
Mdes,-160.8332977,55.83000183,OBIS, , ,1116913,5003.01835785,-160.791666667,55.7916666667,1
Mdes,-78.10277778,58.44166667,OBIS, , ,1051683,2264.93236418,-78.125,58.4583333333,1
Mdes,-90.33333333,73.85,OBIS, , ,721093,3075.28621463,-90.2916666667,73.875,1
Mdes,-88.00055556,64.2,OBIS, , ,943957,2202.46363992,-88.0416666667,64.2083333333,1
Mdes,-77.0,72.7999999,OBIS, , ,762901,1660.87526808,-77.0416666667,72.7916666667,1
Mdes,-55.4,55.21,OBIS, , ,1131620,1602.29913121,-55.375,55.2083333333,1
Mdes,-53.04,54.17,OBIS, , ,1155149,4268.21360392,-53.0416666667,54.2083333333,1
Mdes,-62.5,67.21666667,OBIS, , ,904815,2027.2060053,-62.4583333333,67.2083333333,1
Mdes,-64.75,62.85,OBIS, , ,964291,3502.05475117,-64.7083333333,62.875,1
Mdes,-165.75,68.09999847,OBIS, , ,891168,3283.8089728,-165.708333333,68.125,1
Mdes,-65.33333333,61.42,OBIS, , ,987246,4815.66811523,-65.2916666667,61.4583333333,1
Mdes,-73.52833333,63.215,OBIS, , ,959048,1001.04525197,-73.5416666667,63.2083333333,1
Mdes,-54.433333,52.083333,GBIF, , ,1199234,4942.59216493,-54.4583333333,52.125,1
Mdes,-65.583333,62.733333,GBIF, , ,966893,3508.16518083,-65.5416666667,62.7083333333,1
Mdes,-70.2,78.8425,GBIF, , ,526825,3633.13790985,-70.2083333333,78.875,1
Mdes,-55.483333,65.733333,GBIF, , ,924314,3014.4926072,-55.4583333333,65.7083333333,1
Mdes,-54.833333,65.683333,GBIF, , ,924322,3381.64576269,-54.7916666667,65.7083333333,1
Mdes,-55.5,69.833333,GBIF, , ,855749,4916.75892327,-55.4583333333,69.875,1
Mdes,-56.333333,66.65,GBIF, , ,912527,3342.8544756,-56.2916666667,66.625,1
Mdes,-53.538445,69.248009,GBIF, , ,871283,4427.74233368,-53.5416666667,69.2083333333,1
Mdes,-59.783333,53.616667,GBIF, , ,1168040,1079.00049619,-59.7916666667,53.625,1
